Name,Support,Line Count,Lines,Bindings
HyperSQL -> InDynamoDB -> OutHyperSQL & DynamoDB,0.008583690987124463,2,44; 133,X = HyperSQL; Y = DynamoDB
SQLite -> InOracle -> OutSQLite & Oracle,0.004291845493562232,1,39,X = SQLite; Y = Oracle
SQLite -> InPostgreSQL -> OutSQLite & PostgreSQL,0.004291845493562232,1,171,X = SQLite; Y = PostgreSQL
Oracle -> InSQLite -> OutOracle & SQLite,0.004291845493562232,1,231,X = Oracle; Y = SQLite
HyperSQL -> InInformix -> OutHyperSQL & Informix,0.004291845493562232,1,112,X = HyperSQL; Y = Informix
MarkLogic -> InPostgreSQL -> OutMarkLogic & PostgreSQL,0.004291845493562232,1,147,X = MarkLogic; Y = PostgreSQL
MarkLogic -> InMS_SQL_Server -> OutMarkLogic & MS_SQL_Server,0.004291845493562232,1,147,X = MarkLogic; Y = MS_SQL_Server
MarkLogic -> InOracle -> OutMarkLogic & Oracle,0.004291845493562232,1,147,X = MarkLogic; Y = Oracle
SQLite -> InHyperSQL -> OutSQLite & HyperSQL,0.008583690987124463,2,171; 39,X = SQLite; Y = HyperSQL
SQLite -> InRedis -> OutSQLite & Redis,0.004291845493562232,1,112,X = SQLite; Y = Redis
SQLite -> InHazelcast -> OutSQLite & Hazelcast,0.004291845493562232,1,112,X = SQLite; Y = Hazelcast
SQLite -> InInformix -> OutSQLite & Informix,0.004291845493562232,1,112,X = SQLite; Y = Informix
SQLite -> InH2 -> OutSQLite & H2,0.017167381974248927,4,163; 156; 171; 39,X = SQLite; Y = H2
SQLite -> InMS_SQL_Server -> OutSQLite & MS_SQL_Server,0.012875536480686695,3,112; 27; 39,X = SQLite; Y = MS_SQL_Server
MySQL -> InMarkLogic -> OutMySQL & MarkLogic,0.004291845493562232,1,212,X = MySQL; Y = MarkLogic
Informix -> InPostgreSQL -> OutInformix & PostgreSQL,0.004291845493562232,1,115,X = Informix; Y = PostgreSQL
Informix -> InRedis -> OutInformix & Redis,0.004291845493562232,1,115,X = Informix; Y = Redis
Informix -> InMySQL -> OutInformix & MySQL,0.004291845493562232,1,115,X = Informix; Y = MySQL
Informix -> InMS_SQL_Server -> OutInformix & MS_SQL_Server,0.004291845493562232,1,27,X = Informix; Y = MS_SQL_Server
Informix -> InOracle -> OutInformix & Oracle,0.004291845493562232,1,115,X = Informix; Y = Oracle
H2 -> InSQLite -> OutH2 & SQLite,0.004291845493562232,1,194,X = H2; Y = SQLite
MS_SQL_Server -> InRedis -> OutMS_SQL_Server & Redis,0.004291845493562232,1,47,X = MS_SQL_Server; Y = Redis
Firebird -> InIBM_DB2 -> OutFirebird & IBM_DB2,0.004291845493562232,1,151,X = Firebird; Y = IBM_DB2
HyperSQL -> InGoogleCloudDatastore -> OutHyperSQL & GoogleCloudDatastore,0.004291845493562232,1,44,X = HyperSQL; Y = GoogleCloudDatastore
Ingres -> InH2 -> OutIngres & H2,0.004291845493562232,1,151,X = Ingres; Y = H2
Ingres -> InMS_SQL_Server -> OutIngres & MS_SQL_Server,0.004291845493562232,1,151,X = Ingres; Y = MS_SQL_Server
GoogleCloudDatastore -> InHyperSQL -> OutGoogleCloudDatastore & HyperSQL,0.004291845493562232,1,44,X = GoogleCloudDatastore; Y = HyperSQL
GoogleCloudDatastore -> InOracle -> OutGoogleCloudDatastore & Oracle,0.004291845493562232,1,201,X = GoogleCloudDatastore; Y = Oracle
PostgreSQL -> InGoogleCloudDatastore -> OutPostgreSQL & GoogleCloudDatastore,0.004291845493562232,1,59,X = PostgreSQL; Y = GoogleCloudDatastore
Oracle -> InGoogleCloudDatastore -> OutOracle & GoogleCloudDatastore,0.004291845493562232,1,59,X = Oracle; Y = GoogleCloudDatastore
MS_SQL_Server -> InIngres -> OutMS_SQL_Server & Ingres,0.004291845493562232,1,151,X = MS_SQL_Server; Y = Ingres
MongoDB -> InMarkLogic -> OutMongoDB & MarkLogic,0.004291845493562232,1,147,X = MongoDB; Y = MarkLogic
Cassandra -> InMarkLogic -> OutCassandra & MarkLogic,0.004291845493562232,1,47,X = Cassandra; Y = MarkLogic
GoogleCloudDatastore -> InMarkLogic -> OutGoogleCloudDatastore & MarkLogic,0.004291845493562232,1,212,X = GoogleCloudDatastore; Y = MarkLogic
GoogleCloudDatastore -> InCassandra -> OutGoogleCloudDatastore & Cassandra,0.004291845493562232,1,44,X = GoogleCloudDatastore; Y = Cassandra
IBM_DB2 -> InCassandra -> OutIBM_DB2 & Cassandra,0.008583690987124463,2,30; 159,X = IBM_DB2; Y = Cassandra
