Name,Support,Line Count,Lines,Bindings,Source
HBase -> InInflux_DB -> OutHBase & Influx_DB,0.004291845493562232,1,44,X = HBase; Y = Influx_DB,X -> InY -> OutX & Y -v X -v Y
HBase -> InMicrosoftAzureCosmosDB -> OutHBase & MicrosoftAzureCosmosDB,0.004291845493562232,1,44,X = HBase; Y = MicrosoftAzureCosmosDB,X -> InY -> OutX & Y -v X -v Y
Neo4j -> InCassandra -> OutNeo4j & Cassandra,0.004291845493562232,1,188,X = Neo4j; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
Neo4j -> InRedis -> OutNeo4j & Redis,0.008583690987124463,2,188; 44,X = Neo4j; Y = Redis,X -> InY -> OutX & Y -v X -v Y
Cassandra -> InEtcd -> OutCassandra & Etcd,0.004291845493562232,1,68,X = Cassandra; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InMongoDB -> OutJoin_Ignite_NoSql & MongoDB,0.004291845493562232,1,74,X = Join_Ignite_NoSql; Y = MongoDB,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InInflux_DB -> OutJoin_Ignite_NoSql & Influx_DB,0.004291845493562232,1,74,X = Join_Ignite_NoSql; Y = Influx_DB,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InHazelcast -> OutJoin_Ignite_NoSql & Hazelcast,0.004291845493562232,1,59,X = Join_Ignite_NoSql; Y = Hazelcast,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InMicrosoftAzureCosmosDB -> OutJoin_Ignite_NoSql & MicrosoftAzureCosmosDB,0.004291845493562232,1,59,X = Join_Ignite_NoSql; Y = MicrosoftAzureCosmosDB,X -> InY -> OutX & Y -v X -v Y
Join_Ignite_NoSql -> InNeo4j -> OutJoin_Ignite_NoSql & Neo4j,0.008583690987124463,2,74; 59,X = Join_Ignite_NoSql; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
PostgreSQL -> InCouchbase -> OutPostgreSQL & Couchbase,0.004291845493562232,1,59,X = PostgreSQL; Y = Couchbase,X -> InY -> OutX & Y -v X -v Y
MS_SQL_Server -> InEtcd -> OutMS_SQL_Server & Etcd,0.004291845493562232,1,62,X = MS_SQL_Server; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
HyperSQL -> InEtcd -> OutHyperSQL & Etcd,0.004291845493562232,1,62,X = HyperSQL; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
HyperSQL -> InPostGIS -> OutHyperSQL & PostGIS,0.004291845493562232,1,112,X = HyperSQL; Y = PostGIS,X -> InY -> OutX & Y -v X -v Y
HyperSQL -> InNeo4j -> OutHyperSQL & Neo4j,0.008583690987124463,2,44; 159,X = HyperSQL; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InCassandra -> OutCouchbase & Cassandra,0.004291845493562232,1,76,X = Couchbase; Y = Cassandra,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InPostgreSQL -> OutCouchbase & PostgreSQL,0.012875536480686695,3,208; 59; 76,X = Couchbase; Y = PostgreSQL,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InMS_SQL_Server -> OutCouchbase & MS_SQL_Server,0.008583690987124463,2,208; 76,X = Couchbase; Y = MS_SQL_Server,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InInflux_DB -> OutCouchbase & Influx_DB,0.004291845493562232,1,76,X = Couchbase; Y = Influx_DB,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InHazelcast -> OutCouchbase & Hazelcast,0.004291845493562232,1,59,X = Couchbase; Y = Hazelcast,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InMicrosoftAzureCosmosDB -> OutCouchbase & MicrosoftAzureCosmosDB,0.008583690987124463,2,59; 76,X = Couchbase; Y = MicrosoftAzureCosmosDB,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InOracle -> OutCouchbase & Oracle,0.004291845493562232,1,208,X = Couchbase; Y = Oracle,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InDynamoDB -> OutCouchbase & DynamoDB,0.008583690987124463,2,59; 76,X = Couchbase; Y = DynamoDB,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InNeo4j -> OutCouchbase & Neo4j,0.004291845493562232,1,59,X = Couchbase; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
Couchbase -> InH2 -> OutCouchbase & H2,0.004291845493562232,1,76,X = Couchbase; Y = H2,X -> InY -> OutX & Y -v X -v Y
Oracle -> InCouchbase -> OutOracle & Couchbase,0.004291845493562232,1,59,X = Oracle; Y = Couchbase,X -> InY -> OutX & Y -v X -v Y
HBase -> InPostGIS -> OutHBase & PostGIS,0.008583690987124463,2,44; 151,X = HBase; Y = PostGIS,X -> InY -> OutX & Y -v X -v Y
HBase -> InCouchbase -> OutHBase & Couchbase,0.004291845493562232,1,44,X = HBase; Y = Couchbase,X -> InY -> OutX & Y -v X -v Y
HBase -> InArangoDB -> OutHBase & ArangoDB,0.004291845493562232,1,44,X = HBase; Y = ArangoDB,X -> InY -> OutX & Y -v X -v Y
Neo4j -> InH2 -> OutNeo4j & H2,0.004291845493562232,1,72,X = Neo4j; Y = H2,X -> InY -> OutX & Y -v X -v Y
H2 -> InEtcd -> OutH2 & Etcd,0.004291845493562232,1,62,X = H2; Y = Etcd,X -> InY -> OutX & Y -v X -v Y
H2 -> InNeo4j -> OutH2 & Neo4j,0.004291845493562232,1,72,X = H2; Y = Neo4j,X -> InY -> OutX & Y -v X -v Y
H2 -> InArangoDB -> OutH2 & ArangoDB,0.004291845493562232,1,72,X = H2; Y = ArangoDB,X -> InY -> OutX & Y -v X -v Y
SQLite -> InClickHouse -> OutSQLite & ClickHouse,0.004291845493562232,1,112,X = SQLite; Y = ClickHouse,X -> InY -> OutX & Y -v X -v Y
H2 -> InClickHouse -> OutH2 & ClickHouse,0.004291845493562232,1,47,X = H2; Y = ClickHouse,X -> InY -> OutX & Y -v X -v Y
MS_SQL_Server -> InTeradata -> OutMS_SQL_Server & Teradata,0.004291845493562232,1,114,X = MS_SQL_Server; Y = Teradata,X -> InY -> OutX & Y -v X -v Y
Teradata -> InMS_SQL_Server -> OutTeradata & MS_SQL_Server,0.004291845493562232,1,112,X = Teradata; Y = MS_SQL_Server,X -> InY -> OutX & Y -v X -v Y
Teradata -> InRedis -> OutTeradata & Redis,0.004291845493562232,1,112,X = Teradata; Y = Redis,X -> InY -> OutX & Y -v X -v Y
MS_Access -> InPostgreSQL -> OutMS_Access & PostgreSQL,0.004291845493562232,1,138,X = MS_Access; Y = PostgreSQL,X -> InY -> OutX & Y -v X -v Y
MS_Access -> InOracle -> OutMS_Access & Oracle,0.004291845493562232,1,138,X = MS_Access; Y = Oracle,X -> InY -> OutX & Y -v X -v Y
MS_Access -> InH2 -> OutMS_Access & H2,0.004291845493562232,1,73,X = MS_Access; Y = H2,X -> InY -> OutX & Y -v X -v Y
SQLite -> InMicrosoftAzureCosmosDB -> OutSQLite & MicrosoftAzureCosmosDB,0.004291845493562232,1,51,X = SQLite; Y = MicrosoftAzureCosmosDB,X -> InY -> OutX & Y -v X -v Y
Teradata -> InInformix -> OutTeradata & Informix,0.004291845493562232,1,112,X = Teradata; Y = Informix,X -> InY -> OutX & Y -v X -v Y
Teradata -> InHyperSQL -> OutTeradata & HyperSQL,0.004291845493562232,1,112,X = Teradata; Y = HyperSQL,X -> InY -> OutX & Y -v X -v Y
HBase -> InSAPAdaptiveServer -> OutHBase & SAPAdaptiveServer,0.004291845493562232,1,151,X = HBase; Y = SAPAdaptiveServer,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InIBM_DB2 -> OutSAPAdaptiveServer & IBM_DB2,0.004291845493562232,1,151,X = SAPAdaptiveServer; Y = IBM_DB2,X -> InY -> OutX & Y -v X -v Y
SAPAdaptiveServer -> InGoogleCloudDatastore -> OutSAPAdaptiveServer & GoogleCloudDatastore,0.004291845493562232,1,59,X = SAPAdaptiveServer; Y = GoogleCloudDatastore,X -> InY -> OutX & Y -v X -v Y
