db,project_id,total_exposure_days,post_disclosure_days,post_resolution_days
PostgreSQL,19,3212,1877.0,1877.0
PostgreSQL,2,1,0.0,0.0
PostgreSQL,21,2818,2463.0,2466.0
PostgreSQL,27,4766,2629.0,2632.0
PostgreSQL,31,2132,1841.0,1844.0
PostgreSQL,32,1540,1510.0,1510.0
PostgreSQL,43,2223,2223.0,2223.0
PostgreSQL,49,1433,1433.0,1433.0
PostgreSQL,50,2536,1968.0,1968.0
PostgreSQL,51,1989,1989.0,1989.0
PostgreSQL,53,23,0.0,0.0
PostgreSQL,57,2522,2463.0,2463.0
PostgreSQL,58,4715,2541.0,2544.0
PostgreSQL,63,435,435.0,435.0
PostgreSQL,66,4380,1296.0,1299.0
PostgreSQL,72,908,507.0,507.0
PostgreSQL,76,1896,1896.0,1896.0
PostgreSQL,79,266,266.0,266.0
PostgreSQL,8,735,0.0,0.0
Redis,10,668,0.0,0.0
Redis,11,755,511.0,632.0
Redis,17,409,0.0,0.0
Redis,27,373,0.0,0.0
Redis,46,739,0.0,0.0
Redis,50,1973,783.0,904.0
Redis,63,79,79.0,79.0
Redis,68,3631,824.0,945.0
Redis,71,1872,404.0,525.0
Redis,72,135,135.0,135.0
Redis,76,1405,194.0,315.0
Redis,83,2148,694.0,815.0
SQLite,27,3567,0.0,4.0
SQLite,31,1996,0.0,4.0
SQLite,32,729,0.0,0.0
SQLite,51,581,0.0,4.0
SQLite,52,4757,867.0,871.0
SQLite,53,440,440.0,440.0
SQLite,58,3156,814.0,818.0
SQLite,60,2315,951.0,955.0
SQLite,70,67,0.0,0.0
SQLite,72,216,44.0,48.0
Snowflake,11,672,175.0,175.0
Snowflake,31,1369,201.0,219.0
Snowflake,51,1268,971.0,993.0
