project_id,project,db,interval_start,interval_end,days,period,active_segments,active_files,active_versions,cves
7,shardingsphere-elasticjob,H2,2022-01-04 20:53:00+00:00,2022-01-06 23:55:09+00:00,2.1264930555555557,post_resolution,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,H2,2022-01-06 23:55:09+00:00,2022-01-17 16:18:52+00:00,10.683136574074075,post_resolution,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,H2,2022-01-17 16:18:52+00:00,2022-01-21 23:07:39+00:00,4.283877314814815,post_resolution,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,H2,2022-01-21 23:07:39+00:00,2023-10-13 00:00:00+00:00,629.0363541666667,post_resolution,1,7,1,CVE-2018-14335; CVE-2021-42392; CVE-2022-23221
7,shardingsphere-elasticjob,MySQL,2016-08-12 00:00:00+00:00,2017-02-14 20:27:59+00:00,186.8527662037037,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2017-02-14 20:27:59+00:00,2017-04-17 18:23:36+00:00,61.91362268518518,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2017-04-17 18:23:36+00:00,2018-09-27 09:18:47+00:00,527.6216550925926,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2018-09-27 09:18:47+00:00,2019-03-20 19:08:52+00:00,174.4097800925926,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2019-03-20 19:08:52+00:00,2020-04-15 14:15:36.453000+00:00,391.7963478356482,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2020-04-15 14:15:36.453000+00:00,2020-07-01 17:12:20+00:00,77.12272623842593,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2020-07-01 17:12:20+00:00,2020-07-06 00:00:00+00:00,4.2831018518518515,post_resolution,1,9,1,CVE-2015-2575; CVE-2017-3523; CVE-2017-3586; CVE-2017-3589; CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2020-07-06 00:00:00+00:00,2020-07-14 00:00:00+00:00,8.0,post_disclosure,1,3,1,CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
7,shardingsphere-elasticjob,MySQL,2020-07-14 00:00:00+00:00,2020-07-31 00:00:00+00:00,17.0,post_resolution,1,3,1,CVE-2020-2934; CVE-2021-2471; CVE-2022-21363; CVE-2023-22102
8,drill,MS SQL Server_Microsoft Azure SQL Database,2023-10-21 00:00:00+00:00,2025-10-13 00:00:00+00:00,723.0,pre_disclosure,1,1,1,CVE-2025-59250
8,drill,MS SQL Server_Microsoft Azure SQL Database,2025-10-13 00:00:00+00:00,2025-10-14 17:16:07.240000+00:00,1.7195282407407406,post_resolution,1,1,1,CVE-2025-59250
8,drill,MS SQL Server_Microsoft Azure SQL Database,2025-10-14 17:16:07.240000+00:00,2025-11-06 00:00:00+00:00,22.28047175925926,post_resolution,1,1,1,CVE-2025-59250
8,drill,MySQL,2023-10-21 00:00:00+00:00,2023-10-25 08:46:05+00:00,4.3653356481481485,post_disclosure,1,1,1,CVE-2023-22102
8,drill,MySQL,2023-10-25 08:46:05+00:00,2025-08-07 00:00:00+00:00,651.6346643518518,post_resolution,1,1,1,CVE-2023-22102
8,drill,PostgreSQL,2023-10-21 00:00:00+00:00,2024-05-06 00:00:00+00:00,198.0,pre_disclosure,1,1,1,CVE-2026-42198
8,drill,PostgreSQL,2024-05-06 00:00:00+00:00,2025-11-06 00:00:00+00:00,549.0,pre_disclosure,1,1,1,CVE-2026-42198
9,iotdb,H2,2021-06-05 00:00:00+00:00,2021-11-29 11:00:04+00:00,177.45837962962963,pre_disclosure,1,19,1,CVE-2021-23463; CVE-2021-42392; CVE-2022-23221; CVE-2022-45868
