project_id,project,db,usage_segment_id,files,n_files,version,interval_start,interval_end,days,period,cves,stop_reason
17,commafeed,MySQL,375,commafeed,1,5.1.42,2019-03-20 19:08:52+00:00,2019-04-23 19:32:55.880000+00:00,34.01671157407407,post_resolution,CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,375,commafeed,1,5.1.42,2019-04-23 19:32:55.880000+00:00,2020-04-15 14:15:36.453000+00:00,357.77963626157407,post_resolution,CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,375,commafeed,1,5.1.42,2020-04-15 14:15:36.453000+00:00,2020-07-14 00:00:00+00:00,89.40582809027778,post_resolution,CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,375,commafeed,1,5.1.42,2020-07-14 00:00:00+00:00,2021-12-16 00:25:41+00:00,520.0178356481481,post_resolution,CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,375,commafeed,1,5.1.42,2021-12-16 00:25:41+00:00,2022-01-02 00:00:00+00:00,16.982164351851853,post_resolution,CVE-2018-3258; CVE-2019-2692; CVE-2020-2934; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,376,commafeed,1,8.0.27,2022-01-02 00:00:00+00:00,2022-01-19 12:15:15.680000+00:00,17.510598148148148,post_resolution,CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,376,commafeed,1,8.0.27,2022-01-19 12:15:15.680000+00:00,2022-07-13 00:00:00+00:00,174.48940185185185,post_resolution,CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,377,commafeed,1,8.0.22,2022-03-22 00:00:00+00:00,2022-07-13 00:00:00+00:00,113.0,post_resolution,CVE-2021-2471; CVE-2022-21363; CVE-2023-22102,version_changed
17,commafeed,MySQL,378,commafeed; commafeed-server,1,8.0.28,2022-03-22 00:00:00+00:00,2023-04-29 00:00:00+00:00,403.0,pre_disclosure,CVE-2023-22102,version_changed
17,commafeed,MySQL,379,commafeed-server,1,8.0.33,2023-04-29 00:00:00+00:00,2023-10-17 22:15:15.100000+00:00,171.92725810185183,pre_disclosure,CVE-2023-22102,version_changed
17,commafeed,MySQL,379,commafeed-server,1,8.0.33,2023-10-17 22:15:15.100000+00:00,2023-10-25 08:46:05+00:00,7.438077546296297,post_disclosure,CVE-2023-22102,version_changed
17,commafeed,MySQL,379,commafeed-server,1,8.0.33,2023-10-25 08:46:05+00:00,2023-12-18 00:00:00+00:00,53.63466435185185,post_resolution,CVE-2023-22102,version_changed
17,commafeed,PostgreSQL,384,commafeed,1,9.1-901-1.jdbc4,2014-08-11 00:00:00+00:00,2014-09-26 00:00:00+00:00,46.0,pre_disclosure,CVE-2018-10936,version_changed
