owner,name,repo_path,has_root_pom,root_pom_path,xml_decl_found,xml_has_bom,xml_has_bytes_before_decl,xml_preamble_preview,root_pom_has_file_tag,root_pom_file_tag_count,erro_no_caminho
broadinstitute,gatk,/home/camila/repos/broadinstitute/gatk,False,,False,False,False,,False,0,False
BroadleafCommerce,BroadleafCommerce,/home/camila/repos/BroadleafCommerce/BroadleafCommerce,True,/home/camila/repos/BroadleafCommerce/BroadleafCommerce/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
BuildCraft,BuildCraft,/home/camila/repos/BuildCraft/BuildCraft,False,,False,False,False,,False,0,False
bumptech,glide,/home/camila/repos/bumptech/glide,False,,False,False,False,,False,0,False
bytedeco,javacpp-presets,/home/camila/repos/bytedeco/javacpp-presets,True,/home/camila/repos/bytedeco/javacpp-presets/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",True,2,False
cabaletta,baritone,/home/camila/repos/cabaletta/baritone,False,,False,False,False,,False,0,False
camunda,camunda-bpm-platform,/home/camila/repos/camunda/camunda-bpm-platform,True,/home/camila/repos/camunda/camunda-bpm-platform/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
CellularPrivacy,Android-IMSI-Catcher-Detector,/home/camila/repos/CellularPrivacy/Android-IMSI-Catcher-Detector,False,,False,False,False,,False,0,False
cgeo,cgeo,/home/camila/repos/cgeo/cgeo,False,,False,False,False,,False,0,False
checkstyle,checkstyle,/home/camila/repos/checkstyle/checkstyle,True,/home/camila/repos/checkstyle/checkstyle/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",False,0,False
classgraph,classgraph,/home/camila/repos/classgraph/classgraph,True,/home/camila/repos/classgraph/classgraph/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
clojure,clojure,/home/camila/repos/clojure/clojure,True,/home/camila/repos/clojure/clojure/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
cloudfoundry,uaa,/home/camila/repos/cloudfoundry/uaa,False,,False,False,False,,False,0,False
codecentric,spring-boot-admin,/home/camila/repos/codecentric/spring-boot-admin,True,/home/camila/repos/codecentric/spring-boot-admin/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
Col-E,Recaf,/home/camila/repos/Col-E/Recaf,False,,False,False,False,,False,0,False
confluentinc,kafka-rest,/home/camila/repos/confluentinc/kafka-rest,True,/home/camila/repos/confluentinc/kafka-rest/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
confluentinc,schema-registry,/home/camila/repos/confluentinc/schema-registry,True,/home/camila/repos/confluentinc/schema-registry/pom.xml,False,False,False,"b'<project xmlns:xsi=""http://www.w3.org/20'",False,0,False
confluentinc,ksql,/home/camila/repos/confluentinc/ksql,True,/home/camila/repos/confluentinc/ksql/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
connectbot,connectbot,/home/camila/repos/connectbot/connectbot,False,,False,False,False,,False,0,False
crate,crate,/home/camila/repos/crate/crate,True,/home/camila/repos/crate/crate/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",False,0,False
cryptomator,cryptomator,/home/camila/repos/cryptomator/cryptomator,True,/home/camila/repos/cryptomator/cryptomator/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
cSploit,android,/home/camila/repos/cSploit/android,False,,False,False,False,,False,0,False
cuba-platform,cuba,/home/camila/repos/cuba-platform/cuba,False,,False,False,False,,False,0,False
cucumber,cucumber-jvm,/home/camila/repos/cucumber/cucumber-jvm,True,/home/camila/repos/cucumber/cucumber-jvm/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",True,2,False
danfickle,openhtmltopdf,/home/camila/repos/danfickle/openhtmltopdf,True,/home/camila/repos/danfickle/openhtmltopdf/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
dbeaver,dbeaver,/home/camila/repos/dbeaver/dbeaver,True,/home/camila/repos/dbeaver/dbeaver/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
debezium,debezium,/home/camila/repos/debezium/debezium,True,/home/camila/repos/debezium/debezium/pom.xml,True,False,False,"b'<?xml version=""1.0""?>\n<project xmlns=""ht'",False,0,False
diffplug,spotless,/home/camila/repos/diffplug/spotless,False,,False,False,False,,False,0,False
docker-java,docker-java,/home/camila/repos/docker-java/docker-java,True,/home/camila/repos/docker-java/docker-java/pom.xml,False,False,False,"b'<project xmlns=""http://maven.apache.org/'",True,1,False
dreamhead,moco,/home/camila/repos/dreamhead/moco,False,,False,False,False,,False,0,False
drewnoakes,metadata-extractor,/home/camila/repos/drewnoakes/metadata-extractor,True,/home/camila/repos/drewnoakes/metadata-extractor/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n\n'",False,0,False
dropwizard,metrics,/home/camila/repos/dropwizard/metrics,True,/home/camila/repos/dropwizard/metrics/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
dropwizard,dropwizard,/home/camila/repos/dropwizard/dropwizard,True,/home/camila/repos/dropwizard/dropwizard/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
ebean-orm,ebean,/home/camila/repos/ebean-orm/ebean,True,/home/camila/repos/ebean-orm/ebean/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
eclipse,eclipse-collections,/home/camila/repos/eclipse/eclipse-collections,True,/home/camila/repos/eclipse/eclipse-collections/pom.xml,True,False,False,"b'<?xml version=""1.0"" encoding=""UTF-8""?>\n<'",False,0,False
eclipse-vertx,vert.x,/home/camila/repos/eclipse-vertx/vert.x,True,/home/camila/repos/eclipse-vertx/vert.x/pom.xml,True,False,False,"b'<?xml version=""1.0""?>\n<!--\n  ~ Copyright'",False,0,False
ehcache,ehcache3,/home/camila/repos/ehcache/ehcache3,False,,False,False,False,,False,0,False
elastic,elasticsearch-hadoop,/home/camila/repos/elastic/elasticsearch-hadoop,False,,False,False,False,,False,0,False
elastic,elasticsearch,/home/camila/repos/elastic/elasticsearch,False,,False,False,False,,False,0,False
embulk,embulk,/home/camila/repos/embulk/embulk,False,,False,False,False,,False,0,False
