owner,name,repo_path,has_root_pom,root_packaging,root_modules_declared_count,classification,total_poms,deployables_count,excluded_count
bytedeco,javacpp-presets,/home/camila/repos/bytedeco/javacpp-presets,True,pom,0,AGGREGATOR_EMPTY,202,200,66
cabaletta,baritone,/home/camila/repos/cabaletta/baritone,False,,0,NO_ROOT_POM,0,0,0
camunda,camunda-bpm-platform,/home/camila/repos/camunda/camunda-bpm-platform,True,pom,0,AGGREGATOR_EMPTY,180,124,5
CellularPrivacy,Android-IMSI-Catcher-Detector,/home/camila/repos/CellularPrivacy/Android-IMSI-Catcher-Detector,False,,0,NO_ROOT_POM,0,0,0
cgeo,cgeo,/home/camila/repos/cgeo/cgeo,False,,0,NO_ROOT_POM,0,0,0
checkstyle,checkstyle,/home/camila/repos/checkstyle/checkstyle,True,jar,0,SINGLE_MODULE,1,1,0
classgraph,classgraph,/home/camila/repos/classgraph/classgraph,True,jar,0,SINGLE_MODULE,1,1,0
clojure,clojure,/home/camila/repos/clojure/clojure,True,jar,0,SINGLE_MODULE,1,1,0
cloudfoundry,uaa,/home/camila/repos/cloudfoundry/uaa,False,,0,NO_ROOT_POM,0,0,0
codecentric,spring-boot-admin,/home/camila/repos/codecentric/spring-boot-admin,True,pom,9,MULTI_MODULE,20,15,0
Col-E,Recaf,/home/camila/repos/Col-E/Recaf,False,,0,NO_ROOT_POM,0,0,0
confluentinc,kafka-rest,/home/camila/repos/confluentinc/kafka-rest,True,pom,1,MULTI_MODULE,2,1,0
confluentinc,schema-registry,/home/camila/repos/confluentinc/schema-registry,True,pom,33,MULTI_MODULE,34,28,0
confluentinc,ksql,/home/camila/repos/confluentinc/ksql,True,pom,29,MULTI_MODULE,36,31,0
connectbot,connectbot,/home/camila/repos/connectbot/connectbot,False,,0,NO_ROOT_POM,0,0,0
crate,crate,/home/camila/repos/crate/crate,True,pom,23,MULTI_MODULE,24,22,0
cryptomator,cryptomator,/home/camila/repos/cryptomator/cryptomator,True,jar,0,SINGLE_MODULE,1,1,0
cSploit,android,/home/camila/repos/cSploit/android,False,,0,NO_ROOT_POM,0,0,0
cuba-platform,cuba,/home/camila/repos/cuba-platform/cuba,False,,0,NO_ROOT_POM,0,0,0
cucumber,cucumber-jvm,/home/camila/repos/cucumber/cucumber-jvm,True,pom,23,MULTI_MODULE,37,32,10
danfickle,openhtmltopdf,/home/camila/repos/danfickle/openhtmltopdf,True,pom,12,MULTI_MODULE,13,12,0
dbeaver,dbeaver,/home/camila/repos/dbeaver/dbeaver,True,pom,3,MULTI_MODULE,185,1,0
debezium,debezium,/home/camila/repos/debezium/debezium,True,pom,30,MULTI_MODULE,51,40,0
diffplug,spotless,/home/camila/repos/diffplug/spotless,False,,0,NO_ROOT_POM,0,0,0
docker-java,docker-java,/home/camila/repos/docker-java/docker-java,True,pom,11,MULTI_MODULE,12,10,0
dreamhead,moco,/home/camila/repos/dreamhead/moco,False,,0,NO_ROOT_POM,0,0,0
drewnoakes,metadata-extractor,/home/camila/repos/drewnoakes/metadata-extractor,True,jar,0,SINGLE_MODULE,1,1,0
dropwizard,metrics,/home/camila/repos/dropwizard/metrics,True,pom,36,MULTI_MODULE,39,37,1
dropwizard,dropwizard,/home/camila/repos/dropwizard/dropwizard,True,pom,34,MULTI_MODULE,42,37,6
ebean-orm,ebean,/home/camila/repos/ebean-orm/ebean,True,pom,16,MULTI_MODULE,50,45,0
eclipse,eclipse-collections,/home/camila/repos/eclipse/eclipse-collections,True,pom,11,MULTI_MODULE,23,14,0
