owner,name,repo_path,module,status,detail,rel_path,abs_path,depth,nearest_declared_ancestor
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-task-runtime-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-task-runtime-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-task-runtime-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-model-shared-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-model-shared-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-model-shared-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-process-model-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-process-model-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-process-model-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-task-model-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-task-model-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-task-model-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl,undeclared-parent-mismatch(child=org.activiti:activiti-api-impl vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl/pom.xml,2,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-layout,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-bpmn-layout/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-layout/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring,undeclared-parent-mismatch(child=org.activiti:activiti-core-dependencies vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-spring/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring/pom.xml,1,
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-core-dependencies,undeclared-parent-mismatch(child=org.activiti:activiti-core vs root=org.activiti:activiti-parent),POM não listado em <modules>,activiti-core/activiti-core-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-core-dependencies/pom.xml,1,
