owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
apache,beam,/home/camila/repos/apache/beam,False,0,0,0,0,0.000
apache,ambari,/home/camila/repos/apache/ambari,True,0,0,0,1,0.000
apache,camel,/home/camila/repos/apache/camel,False,0,0,0,0,0.000
apereo,cas,/home/camila/repos/apereo/cas,True,0,0,0,0,0.000
asciidocfx,AsciidocFX,/home/camila/repos/asciidocfx/AsciidocFX,True,0,0,0,0,0.000
AsyncHttpClient,async-http-client,/home/camila/repos/AsyncHttpClient/async-http-client,True,1,1,0,0,1.000
Athou,commafeed,/home/camila/repos/Athou/commafeed,True,2,2,0,0,1.000
Atmosphere,atmosphere,/home/camila/repos/Atmosphere/atmosphere,True,3,2,1,0,0.667
Automattic,simplenote-android,/home/camila/repos/Automattic/simplenote-android,False,0,0,0,0,0.000
aws,aws-sdk-java,/home/camila/repos/aws/aws-sdk-java,True,385,385,0,0,1.000
aws,aws-sdk-java-v2,/home/camila/repos/aws/aws-sdk-java-v2,True,42,21,21,0,0.500
AxonFramework,AxonFramework,/home/camila/repos/AxonFramework/AxonFramework,True,16,16,0,1,1.000
azkaban,azkaban,/home/camila/repos/azkaban/azkaban,False,0,0,0,0,0.000
bazelbuild,bazel,/home/camila/repos/bazelbuild/bazel,False,0,0,0,0,0.000
bcgit,bc-java,/home/camila/repos/bcgit/bc-java,False,0,0,0,0,0.000
ben-manes,caffeine,/home/camila/repos/ben-manes/caffeine,False,0,0,0,0,0.000
bisq-network,bisq,/home/camila/repos/bisq-network/bisq,False,0,0,0,0,0.000
bitcoin-wallet,bitcoin-wallet,/home/camila/repos/bitcoin-wallet/bitcoin-wallet,False,0,0,0,0,0.000
bitcoinj,bitcoinj,/home/camila/repos/bitcoinj/bitcoinj,False,0,0,0,0,0.000
Blankj,AndroidUtilCode,/home/camila/repos/Blankj/AndroidUtilCode,False,0,0,0,0,0.000
bonigarcia,webdrivermanager,/home/camila/repos/bonigarcia/webdrivermanager,True,0,0,0,0,0.000
bootique,bootique,/home/camila/repos/bootique/bootique,True,8,8,0,0,1.000
brettwooldridge,HikariCP,/home/camila/repos/brettwooldridge/HikariCP,True,0,0,0,0,0.000
broadinstitute,gatk,/home/camila/repos/broadinstitute/gatk,False,0,0,0,0,0.000
BroadleafCommerce,BroadleafCommerce,/home/camila/repos/BroadleafCommerce/BroadleafCommerce,True,4,4,0,0,1.000
BuildCraft,BuildCraft,/home/camila/repos/BuildCraft/BuildCraft,False,0,0,0,0,0.000
bumptech,glide,/home/camila/repos/bumptech/glide,False,0,0,0,0,0.000
bytedeco,javacpp-presets,/home/camila/repos/bytedeco/javacpp-presets,True,0,0,0,32,0.000
cabaletta,baritone,/home/camila/repos/cabaletta/baritone,False,0,0,0,0,0.000
camunda,camunda-bpm-platform,/home/camila/repos/camunda/camunda-bpm-platform,True,0,0,0,2,0.000
CellularPrivacy,Android-IMSI-Catcher-Detector,/home/camila/repos/CellularPrivacy/Android-IMSI-Catcher-Detector,False,0,0,0,0,0.000
cgeo,cgeo,/home/camila/repos/cgeo/cgeo,False,0,0,0,0,0.000
checkstyle,checkstyle,/home/camila/repos/checkstyle/checkstyle,True,0,0,0,0,0.000
classgraph,classgraph,/home/camila/repos/classgraph/classgraph,True,0,0,0,0,0.000
clojure,clojure,/home/camila/repos/clojure/clojure,True,0,0,0,0,0.000
cloudfoundry,uaa,/home/camila/repos/cloudfoundry/uaa,False,0,0,0,0,0.000
codecentric,spring-boot-admin,/home/camila/repos/codecentric/spring-boot-admin,True,9,1,8,0,0.111
Col-E,Recaf,/home/camila/repos/Col-E/Recaf,False,0,0,0,0,0.000
confluentinc,kafka-rest,/home/camila/repos/confluentinc/kafka-rest,True,1,1,0,0,1.000
confluentinc,schema-registry,/home/camila/repos/confluentinc/schema-registry,True,33,33,0,0,1.000
confluentinc,ksql,/home/camila/repos/confluentinc/ksql,True,29,29,0,0,1.000
connectbot,connectbot,/home/camila/repos/connectbot/connectbot,False,0,0,0,0,0.000
crate,crate,/home/camila/repos/crate/crate,True,23,4,19,0,0.174
cryptomator,cryptomator,/home/camila/repos/cryptomator/cryptomator,True,0,0,0,0,0.000
cSploit,android,/home/camila/repos/cSploit/android,False,0,0,0,0,0.000
cuba-platform,cuba,/home/camila/repos/cuba-platform/cuba,False,0,0,0,0,0.000
cucumber,cucumber-jvm,/home/camila/repos/cucumber/cucumber-jvm,True,23,23,0,2,1.000
danfickle,openhtmltopdf,/home/camila/repos/danfickle/openhtmltopdf,True,12,12,0,0,1.000
dbeaver,dbeaver,/home/camila/repos/dbeaver/dbeaver,True,3,3,0,1,1.000
debezium,debezium,/home/camila/repos/debezium/debezium,True,30,2,28,0,0.067
diffplug,spotless,/home/camila/repos/diffplug/spotless,False,0,0,0,0,0.000
docker-java,docker-java,/home/camila/repos/docker-java/docker-java,True,11,11,0,0,1.000
dreamhead,moco,/home/camila/repos/dreamhead/moco,False,0,0,0,0,0.000
drewnoakes,metadata-extractor,/home/camila/repos/drewnoakes/metadata-extractor,True,0,0,0,0,0.000
dropwizard,metrics,/home/camila/repos/dropwizard/metrics,True,36,36,0,2,1.000
dropwizard,dropwizard,/home/camila/repos/dropwizard/dropwizard,True,34,1,33,1,0.029
ebean-orm,ebean,/home/camila/repos/ebean-orm/ebean,True,16,16,0,1,1.000
eclipse,eclipse-collections,/home/camila/repos/eclipse/eclipse-collections,True,11,11,0,6,1.000
eclipse-vertx,vert.x,/home/camila/repos/eclipse-vertx/vert.x,True,2,2,0,0,1.000
ehcache,ehcache3,/home/camila/repos/ehcache/ehcache3,False,0,0,0,0,0.000
elastic,elasticsearch-hadoop,/home/camila/repos/elastic/elasticsearch-hadoop,False,0,0,0,0,0.000
elastic,elasticsearch,/home/camila/repos/elastic/elasticsearch,False,0,0,0,0,0.000
embulk,embulk,/home/camila/repos/embulk/embulk,False,0,0,0,0,0.000
EngineHub,WorldEdit,/home/camila/repos/EngineHub/WorldEdit,False,0,0,0,0,0.000
ervandew,eclim,/home/camila/repos/ervandew/eclim,False,0,0,0,0,0.000
Etar-Group,Etar-Calendar,/home/camila/repos/Etar-Group/Etar-Calendar,False,0,0,0,0,0.000
fabric8io,docker-maven-plugin,/home/camila/repos/fabric8io/docker-maven-plugin,True,0,0,0,0,0.000
fabric8io,kubernetes-client,/home/camila/repos/fabric8io/kubernetes-client,True,23,18,5,5,0.783
facebook,fresco,/home/camila/repos/facebook/fresco,False,0,0,0,0,0.000
