owner,name,repo_path,has_root_pom,listed_modules,listed_modules_parent_ok,listed_modules_parent_bad,unlisted_children_parent_ok,coverage_listed_ok_over_listed
skylot,jadx,/home/camila/repos/skylot/jadx,False,0,0,0,0,0.000
slapperwan,gh4a,/home/camila/repos/slapperwan/gh4a,False,0,0,0,0,0.000
sleuthkit,autopsy,/home/camila/repos/sleuthkit/autopsy,False,0,0,0,0,0.000
SonarSource,sonarqube,/home/camila/repos/SonarSource/sonarqube,False,0,0,0,0,0.000
soot-oss,soot,/home/camila/repos/soot-oss/soot,True,0,0,0,0,0.000
SpigotMC,BungeeCord,/home/camila/repos/SpigotMC/BungeeCord,True,12,12,0,0,1.000
spockframework,spock,/home/camila/repos/spockframework/spock,False,0,0,0,0,0.000
SpongePowered,SpongeAPI,/home/camila/repos/SpongePowered/SpongeAPI,False,0,0,0,0,0.000
spotbugs,spotbugs,/home/camila/repos/spotbugs/spotbugs,False,0,0,0,0,0.000
spring-cloud,spring-cloud-config,/home/camila/repos/spring-cloud/spring-cloud-config,True,8,7,1,0,0.875
spring-cloud,spring-cloud-gateway,/home/camila/repos/spring-cloud/spring-cloud-gateway,True,10,9,1,0,0.900
spring-cloud,spring-cloud-sleuth,/home/camila/repos/spring-cloud/spring-cloud-sleuth,True,10,9,1,0,0.900
spring-cloud,spring-cloud-netflix,/home/camila/repos/spring-cloud/spring-cloud-netflix,True,7,6,1,0,0.857
spring-io,initializr,/home/camila/repos/spring-io/initializr,True,11,1,10,0,0.091
spring-projects,spring-kafka,/home/camila/repos/spring-projects/spring-kafka,False,0,0,0,0,0.000
spring-projects,spring-data-redis,/home/camila/repos/spring-projects/spring-data-redis,True,0,0,0,0,0.000
spring-projects,spring-batch,/home/camila/repos/spring-projects/spring-batch,True,7,7,0,0,1.000
spring-projects,spring-security,/home/camila/repos/spring-projects/spring-security,False,0,0,0,0,0.000
spring-projects,spring-integration,/home/camila/repos/spring-projects/spring-integration,False,0,0,0,0,0.000
spring-projects,spring-boot,/home/camila/repos/spring-projects/spring-boot,False,0,0,0,0,0.000
springdoc,springdoc-openapi,/home/camila/repos/springdoc/springdoc-openapi,True,5,5,0,1,1.000
stanfordnlp,CoreNLP,/home/camila/repos/stanfordnlp/CoreNLP,True,0,0,0,0,0.000
strimzi,strimzi-kafka-operator,/home/camila/repos/strimzi/strimzi-kafka-operator,True,17,17,0,0,1.000
swagger-api,swagger-core,/home/camila/repos/swagger-api/swagger-core,True,10,0,10,0,0.000
syncthing,syncthing-android,/home/camila/repos/syncthing/syncthing-android,False,0,0,0,0,0.000
TEAMMATES,teammates,/home/camila/repos/TEAMMATES/teammates,False,0,0,0,0,0.000
TeamNewPipe,NewPipe,/home/camila/repos/TeamNewPipe/NewPipe,False,0,0,0,0,0.000
TechEmpower,FrameworkBenchmarks,/home/camila/repos/TechEmpower/FrameworkBenchmarks,False,0,0,0,0,0.000
testcontainers,testcontainers-java,/home/camila/repos/testcontainers/testcontainers-java,False,0,0,0,0,0.000
theonedev,onedev,/home/camila/repos/theonedev/onedev,True,0,0,0,3,0.000
thingsboard,thingsboard,/home/camila/repos/thingsboard/thingsboard,True,11,11,0,0,1.000
tlaplus,tlaplus,/home/camila/repos/tlaplus/tlaplus,True,35,0,35,0,0.000
traccar,traccar,/home/camila/repos/traccar/traccar,False,0,0,0,0,0.000
trinodb,trino,/home/camila/repos/trinodb/trino,True,108,1,107,0,0.009
tronprotocol,java-tron,/home/camila/repos/tronprotocol/java-tron,False,0,0,0,0,0.000
Twitter4J,Twitter4J,/home/camila/repos/Twitter4J/Twitter4J,False,0,0,0,0,0.000
ukanth,afwall,/home/camila/repos/ukanth/afwall,False,0,0,0,0,0.000
unclebob,fitnesse,/home/camila/repos/unclebob/fitnesse,False,0,0,0,0,0.000
undertow-io,undertow,/home/camila/repos/undertow-io/undertow,True,6,6,0,2,1.000
UniversalMediaServer,UniversalMediaServer,/home/camila/repos/UniversalMediaServer/UniversalMediaServer,True,0,0,0,0,0.000
vaadin,framework,/home/camila/repos/vaadin/framework,True,0,0,0,19,0.000
validator,validator,/home/camila/repos/validator/validator,False,0,0,0,0,0.000
vavr-io,vavr,/home/camila/repos/vavr-io/vavr,True,5,5,0,0,1.000
VertaAI,modeldb,/home/camila/repos/VertaAI/modeldb,True,2,2,0,0,1.000
vespa-engine,vespa,/home/camila/repos/vespa-engine/vespa,True,118,0,118,0,0.000
vigna,fastutil,/home/camila/repos/vigna/fastutil,False,0,0,0,0,0.000
vipshop,Saturn,/home/camila/repos/vipshop/Saturn,True,14,14,0,0,1.000
vsch,flexmark-java,/home/camila/repos/vsch/flexmark-java,True,59,59,0,0,1.000
webbukkit,dynmap,/home/camila/repos/webbukkit/dynmap,False,0,0,0,0,0.000
wildfly,wildfly,/home/camila/repos/wildfly/wildfly,True,66,45,21,1,0.682
winder,Universal-G-Code-Sender,/home/camila/repos/winder/Universal-G-Code-Sender,True,5,5,0,0,1.000
xuxueli,xxl-job,/home/camila/repos/xuxueli/xxl-job,True,3,3,0,0,1.000
yacy,yacy_search_server,/home/camila/repos/yacy/yacy_search_server,False,0,0,0,0,0.000
zaproxy,zaproxy,/home/camila/repos/zaproxy/zaproxy,False,0,0,0,0,0.000
zendesk,maxwell,/home/camila/repos/zendesk/maxwell,True,0,0,0,0,0.000
zxing,zxing,/home/camila/repos/zxing/zxing,True,2,2,0,4,1.000
liferay,liferay-portal,/home/camila/repos/liferay/liferay-portal,False,0,0,0,0,0.000
