owner,name,repo_path,module_dir,pom_path_rel,pom_path_abs,groupId,artifactId,version,packaging,spring_boot_plugin,is_deployable,deployable_reason,is_excluded
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl,activiti-core/activiti-api-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/pom.xml,org.activiti,activiti-api-impl,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-task-runtime-impl,activiti-core/activiti-api-impl/activiti-api-task-runtime-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-task-runtime-impl/pom.xml,org.activiti,activiti-api-task-runtime-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-model-shared-impl,activiti-core/activiti-api-impl/activiti-api-model-shared-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-model-shared-impl/pom.xml,org.activiti,activiti-api-model-shared-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-process-model-impl,activiti-core/activiti-api-impl/activiti-api-process-model-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-process-model-impl/pom.xml,org.activiti,activiti-api-process-model-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl,activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-process-runtime-impl/pom.xml,org.activiti,activiti-api-process-runtime-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-task-model-impl,activiti-core/activiti-api-impl/activiti-api-task-model-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-task-model-impl/pom.xml,org.activiti,activiti-api-task-model-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl,activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-api-impl/activiti-api-runtime-shared-impl/pom.xml,org.activiti,activiti-api-runtime-shared-impl,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-bpmn-layout,activiti-core/activiti-bpmn-layout/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-bpmn-layout/pom.xml,org.activiti,activiti-bpmn-layout,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-spring,activiti-core/activiti-spring/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-spring/pom.xml,org.activiti,activiti-spring,8.7.0-SNAPSHOT,jar,False,True,packaging=jar,False
Activiti,Activiti,/home/camila/repos/Activiti/Activiti,activiti-core/activiti-core-dependencies,activiti-core/activiti-core-dependencies/pom.xml,/home/camila/repos/Activiti/Activiti/activiti-core/activiti-core-dependencies/pom.xml,org.activiti,activiti-core-dependencies,8.7.0-SNAPSHOT,pom,False,False,packaging=pom,False
