owner,name,repo_path,classe,gradle_multi,node_workspaces,erro_no_caminho,total_poms,total_pom_commits
bisq-network,bisq,/home/camila/repos/bisq-network/bisq,MULTIPROJETOS,True,False,False,0,0
bitcoin-wallet,bitcoin-wallet,/home/camila/repos/bitcoin-wallet/bitcoin-wallet,MULTIPROJETOS,True,False,False,0,0
bitcoinj,bitcoinj,/home/camila/repos/bitcoinj/bitcoinj,MULTIPROJETOS,True,False,False,0,0
Blankj,AndroidUtilCode,/home/camila/repos/Blankj/AndroidUtilCode,MULTIPROJETOS,False,False,False,0,0
bonigarcia,webdrivermanager,/home/camila/repos/bonigarcia/webdrivermanager,SINGLE_REPO,False,False,False,1,802
bootique,bootique,/home/camila/repos/bootique/bootique,MULTIPROJETOS,False,False,False,9,260
brettwooldridge,HikariCP,/home/camila/repos/brettwooldridge/HikariCP,SINGLE_REPO,False,False,False,1,449
broadinstitute,gatk,/home/camila/repos/broadinstitute/gatk,MULTIPROJETOS,False,False,False,0,0
BroadleafCommerce,BroadleafCommerce,/home/camila/repos/BroadleafCommerce/BroadleafCommerce,MULTIPROJETOS,False,False,False,13,2264
BuildCraft,BuildCraft,/home/camila/repos/BuildCraft/BuildCraft,SINGLE_REPO,False,False,False,0,0
bumptech,glide,/home/camila/repos/bumptech/glide,MULTIPROJETOS,True,False,False,0,0
bytedeco,javacpp-presets,/home/camila/repos/bytedeco/javacpp-presets,MULTIPROJETOS,False,False,False,202,830
cabaletta,baritone,/home/camila/repos/cabaletta/baritone,MULTIPROJETOS,True,False,False,0,0
camunda,camunda-bpm-platform,/home/camila/repos/camunda/camunda-bpm-platform,MULTIPROJETOS,False,False,False,180,4206
CellularPrivacy,Android-IMSI-Catcher-Detector,/home/camila/repos/CellularPrivacy/Android-IMSI-Catcher-Detector,MULTIPROJETOS,True,False,False,0,0
cgeo,cgeo,/home/camila/repos/cgeo/cgeo,MULTIPROJETOS,True,False,False,0,0
checkstyle,checkstyle,/home/camila/repos/checkstyle/checkstyle,SINGLE_REPO,False,False,False,1,2689
classgraph,classgraph,/home/camila/repos/classgraph/classgraph,SINGLE_REPO,False,False,False,1,1454
clojure,clojure,/home/camila/repos/clojure/clojure,SINGLE_REPO,False,False,False,1,393
cloudfoundry,uaa,/home/camila/repos/cloudfoundry/uaa,MULTIPROJETOS,True,False,False,0,0
codecentric,spring-boot-admin,/home/camila/repos/codecentric/spring-boot-admin,MULTIPROJETOS,False,False,False,20,797
Col-E,Recaf,/home/camila/repos/Col-E/Recaf,MULTIPROJETOS,True,False,False,0,0
confluentinc,kafka-rest,/home/camila/repos/confluentinc/kafka-rest,MULTIPROJETOS,False,False,False,2,5840
confluentinc,schema-registry,/home/camila/repos/confluentinc/schema-registry,MULTIPROJETOS,False,False,False,34,4701
confluentinc,ksql,/home/camila/repos/confluentinc/ksql,MULTIPROJETOS,False,False,False,36,20359
connectbot,connectbot,/home/camila/repos/connectbot/connectbot,MULTIPROJETOS,True,False,False,0,0
crate,crate,/home/camila/repos/crate/crate,MULTIPROJETOS,False,False,False,24,202
